Recipe Name,Recipe URL,Ingredients
Beef Tacos,https://www.allrecipes.com/recipe/beef-tacos,"50 ml Shrimp, 3 tbsp Lime, 1 pinch Chili Flakes, 2 L Coconut Milk, 1 g Cilantro"
Chicken Alfredo,https://www.allrecipes.com/recipe/chicken-alfredo,"200 L Rice, 2 ml Soy Sauce, 4 L Ginger, 5 ml Sesame Oil, 200 g Green Onion"
Honey Garlic Chicken,https://www.allrecipes.com/recipe/honey-garlic-chicken,"5 pinch Bread, 3 cup Avocado, 100 L Tomatoes, 200 g Feta Cheese, 1 L Olive Oil"
Chili Con Carne,https://www.allrecipes.com/recipe/chili-con-carne,"200 pinch Chicken, 200 tsp Salt, 4 tsp Pepper, 100 tsp Garlic, 1 tsp Olive Oil"
Sweet Potato Casserole,https://www.allrecipes.com/recipe/sweet-potato-casserole,"200 ml Pasta, 1 pinch Tomato Sauce, 3 tsp Parmesan, 1 g Basil, 1 tsp Oregano"
Cajun Shrimp Pasta,https://www.allrecipes.com/recipe/cajun-shrimp-pasta,"4 L Chicken, 200 kg Salt, 5 tsp Pepper, 4 tbsp Garlic, 200 g Olive Oil"
Vegetable Lasagna,https://www.allrecipes.com/recipe/vegetable-lasagna,"5 tsp Pasta, 200 oz Tomato Sauce, 200 tbsp Parmesan, 200 kg Basil, 4 pinch Oregano"
Teriyaki Chicken,https://www.allrecipes.com/recipe/teriyaki-chicken,"1 tbsp Shrimp, 100 tsp Lime, 100 oz Chili Flakes, 100 tbsp Coconut Milk, 4 L Cilantro"
Roasted Brussels Sprouts,https://www.allrecipes.com/recipe/roasted-brussels-sprouts,"200 tbsp Bread, 4 g Avocado, 200 tsp Tomatoes, 2 L Feta Cheese, 200 L Olive Oil"
Strawberry Shortcake,https://www.allrecipes.com/recipe/strawberry-shortcake,"3 ml Chicken, 2 ml Salt, 2 tbsp Pepper, 1 tsp Garlic, 2 L Olive Oil"
Fettuccine Alfredo,https://www.allrecipes.com/recipe/fettuccine-alfredo,"3 oz Rice, 200 tbsp Soy Sauce, 2 pinch Ginger, 200 tsp Sesame Oil, 100 cup Green Onion"
Shakshuka,https://www.allrecipes.com/recipe/shakshuka,"4 g Eggs, 5 pinch Flour, 4 oz Sugar, 100 g Baking Powder, 3 g Milk"
Pulled Pork Sandwich,https://www.allrecipes.com/recipe/pulled-pork-sandwich,"100 ml Bell Peppers, 100 L Mushrooms, 3 g Carrots, 100 kg Broccoli, 5 oz Soy Sauce"
Clam Chowder,https://www.allrecipes.com/recipe/clam-chowder,"5 oz Potatoes, 200 tbsp Rosemary, 100 g Salt, 4 oz Black Pepper, 50 L Butter"
Vegetarian Chili,https://www.allrecipes.com/recipe/vegetarian-chili,"5 kg Beef, 100 g Onion, 4 tsp Paprika, 50 ml Tomato Paste, 200 L Black Pepper"
Carrot Ginger Soup,https://www.allrecipes.com/recipe/carrot-ginger-soup,"2 ml Bell Peppers, 200 L Mushrooms, 200 g Carrots, 1 pinch Broccoli, 4 pinch Soy Sauce"
Quiche Lorraine,https://www.allrecipes.com/recipe/quiche-lorraine,"1 L Bread, 5 oz Avocado, 2 kg Tomatoes, 100 g Feta Cheese, 200 L Olive Oil"
French Toast,https://www.allrecipes.com/recipe/french-toast,"3 kg Eggs, 5 L Flour, 4 pinch Sugar, 50 tbsp Baking Powder, 4 kg Milk"
Beef Bourguignon,https://www.allrecipes.com/recipe/beef-bourguignon,"2 tbsp Bell Peppers, 100 oz Mushrooms, 100 pinch Carrots, 100 kg Broccoli, 50 g Soy Sauce"
Mango Salsa Chicken,https://www.allrecipes.com/recipe/mango-salsa-chicken,"5 L Salmon, 50 oz Lemon, 1 tbsp Dill, 3 L Butter, 100 tbsp Garlic"
Ratatouille,https://www.allrecipes.com/recipe/ratatouille,"4 oz Beef, 50 ml Onion, 50 tbsp Paprika, 3 g Tomato Paste, 4 cup Black Pepper"
Pineapple Fried Rice,https://www.allrecipes.com/recipe/pineapple-fried-rice,"3 tbsp Pasta, 50 cup Tomato Sauce, 50 pinch Parmesan, 200 L Basil, 200 ml Oregano"
Peach Cobbler,https://www.allrecipes.com/recipe/peach-cobbler,"100 kg Eggs, 1 oz Flour, 5 g Sugar, 3 kg Baking Powder, 3 oz Milk"
Coconut Shrimp,https://www.allrecipes.com/recipe/coconut-shrimp,"3 ml Eggs, 100 oz Flour, 100 g Sugar, 1 pinch Baking Powder, 5 oz Milk"
Pumpkin Soup,https://www.allrecipes.com/recipe/pumpkin-soup,"1 tsp Salmon, 4 oz Lemon, 200 pinch Dill, 3 g Butter, 200 tsp Garlic"
Korean Beef Bulgogi,https://www.allrecipes.com/recipe/korean-beef-bulgogi,"4 g Chicken, 2 cup Salt, 50 tsp Pepper, 200 oz Garlic, 200 kg Olive Oil"
Lobster Bisque,https://www.allrecipes.com/recipe/lobster-bisque,"4 pinch Chicken, 200 tsp Salt, 100 pinch Pepper, 2 L Garlic, 1 oz Olive Oil"
Zucchini Fritters,https://www.allrecipes.com/recipe/zucchini-fritters,"200 tbsp Shrimp, 4 g Lime, 3 tsp Chili Flakes, 5 tsp Coconut Milk, 50 cup Cilantro"
Pork Carnitas,https://www.allrecipes.com/recipe/pork-carnitas,"4 pinch Bell Peppers, 1 cup Mushrooms, 1 ml Carrots, 4 oz Broccoli, 2 kg Soy Sauce"
Egg Salad Sandwich,https://www.allrecipes.com/recipe/egg-salad-sandwich,"5 tbsp Salmon, 200 tbsp Lemon, 2 g Dill, 2 L Butter, 100 g Garlic"
Lamb Gyro,https://www.allrecipes.com/recipe/lamb-gyro,"5 L Pasta, 4 oz Tomato Sauce, 200 ml Parmesan, 200 g Basil, 50 ml Oregano"
Garlic Roasted Potatoes,https://www.allrecipes.com/recipe/garlic-roasted-potatoes,"1 tsp Rice, 100 L Soy Sauce, 1 kg Ginger, 2 L Sesame Oil, 5 kg Green Onion"
Salmon Poke Bowl,https://www.allrecipes.com/recipe/salmon-poke-bowl,"3 cup Shrimp, 5 pinch Lime, 100 oz Chili Flakes, 2 ml Coconut Milk, 3 g Cilantro"
Bruschetta,https://www.allrecipes.com/recipe/bruschetta,"50 ml Bread, 4 oz Avocado, 200 kg Tomatoes, 200 pinch Feta Cheese, 5 kg Olive Oil"
Chimichurri Steak,https://www.allrecipes.com/recipe/chimichurri-steak,"1 oz Potatoes, 5 ml Rosemary, 200 kg Salt, 4 tbsp Black Pepper, 100 cup Butter"
Soba Noodle Salad,https://www.allrecipes.com/recipe/soba-noodle-salad,"5 tbsp Potatoes, 3 cup Rosemary, 5 kg Salt, 1 g Black Pepper, 1 oz Butter"
Baked Mac and Cheese,https://www.allrecipes.com/recipe/baked-mac-and-cheese,"200 kg Rice, 1 g Soy Sauce, 2 tbsp Ginger, 100 g Sesame Oil, 4 ml Green Onion"
Tuna Tartare,https://www.allrecipes.com/recipe/tuna-tartare,"200 pinch Salmon, 5 pinch Lemon, 3 cup Dill, 50 tbsp Butter, 2 kg Garlic"
Shrimp Scampi,https://www.allrecipes.com/recipe/shrimp-scampi,"100 oz Chicken, 3 tbsp Salt, 50 L Pepper, 4 pinch Garlic, 2 kg Olive Oil"
Chicken Tikka Masala,https://www.allrecipes.com/recipe/chicken-tikka-masala,"4 g Beef, 2 kg Onion, 2 oz Paprika, 2 kg Tomato Paste, 200 kg Black Pepper"
Falafel Wrap,https://www.allrecipes.com/recipe/falafel-wrap,"100 tbsp Beef, 2 tsp Onion, 5 kg Paprika, 100 L Tomato Paste, 200 tbsp Black Pepper"
Spinach and Ricotta Stuffed Shells,https://www.allrecipes.com/recipe/spinach-and-ricotta-stuffed-shells,"1 g Eggs, 100 oz Flour, 5 cup Sugar, 4 g Baking Powder, 5 oz Milk"
Chocolate Chip Cookies,https://www.allrecipes.com/recipe/chocolate-chip-cookies,"3 L Bell Peppers, 3 cup Mushrooms, 5 tsp Carrots, 2 kg Broccoli, 200 cup Soy Sauce"
Cobb Salad,https://www.allrecipes.com/recipe/cobb-salad,"3 g Beef, 50 ml Onion, 4 tsp Paprika, 200 g Tomato Paste, 50 pinch Black Pepper"
Szechuan Chicken,https://www.allrecipes.com/recipe/szechuan-chicken,"1 tbsp Salmon, 4 tbsp Lemon, 100 pinch Dill, 2 tbsp Butter, 5 pinch Garlic"
Pad Thai,https://www.allrecipes.com/recipe/pad-thai,"5 L Chicken, 3 oz Salt, 100 cup Pepper, 2 tsp Garlic, 200 ml Olive Oil"
Gnocchi with Pesto,https://www.allrecipes.com/recipe/gnocchi-with-pesto,"1 cup Potatoes, 5 oz Rosemary, 100 L Salt, 5 pinch Black Pepper, 1 cup Butter"
Baked Ziti,https://www.allrecipes.com/recipe/baked-ziti,"3 tbsp Shrimp, 4 g Lime, 2 cup Chili Flakes, 4 g Coconut Milk, 50 ml Cilantro"
Vegetable Tempura,https://www.allrecipes.com/recipe/vegetable-tempura,"50 tbsp Beef, 4 tsp Onion, 3 oz Paprika, 50 ml Tomato Paste, 3 ml Black Pepper"
Lobster Roll,https://www.allrecipes.com/recipe/lobster-roll,"1 L Potatoes, 50 tbsp Rosemary, 200 kg Salt, 50 g Black Pepper, 4 tsp Butter"
Pumpkin Pie,https://www.allrecipes.com/recipe/pumpkin-pie,"1 tbsp Chicken, 3 oz Salt, 100 tbsp Pepper, 3 kg Garlic, 200 ml Olive Oil"
Pasta Primavera,https://www.allrecipes.com/recipe/pasta-primavera,"1 ml Salmon, 200 kg Lemon, 50 pinch Dill, 50 g Butter, 4 ml Garlic"
Kimchi Fried Rice,https://www.allrecipes.com/recipe/kimchi-fried-rice,"3 tbsp Eggs, 50 pinch Flour, 200 L Sugar, 50 tsp Baking Powder, 3 ml Milk"
Cajun Chicken Wrap,https://www.allrecipes.com/recipe/cajun-chicken-wrap,"5 kg Rice, 200 g Soy Sauce, 4 L Ginger, 1 L Sesame Oil, 50 kg Green Onion"
Fish Tacos,https://www.allrecipes.com/recipe/fish-tacos,"50 tbsp Bread, 100 ml Avocado, 100 kg Tomatoes, 100 ml Feta Cheese, 1 oz Olive Oil"
Peking Duck,https://www.allrecipes.com/recipe/peking-duck,"3 pinch Rice, 200 g Soy Sauce, 5 oz Ginger, 50 cup Sesame Oil, 100 L Green Onion"
Lasagna Bolognese,https://www.allrecipes.com/recipe/lasagna-bolognese,"2 oz Salmon, 200 ml Lemon, 1 oz Dill, 100 oz Butter, 1 g Garlic"
Stuffed Mushrooms,https://www.allrecipes.com/recipe/stuffed-mushrooms,"2 tsp Chicken, 50 tbsp Salt, 3 tbsp Pepper, 100 tsp Garlic, 100 pinch Olive Oil"
Black Bean Burger,https://www.allrecipes.com/recipe/black-bean-burger,"50 oz Bread, 5 tbsp Avocado, 2 L Tomatoes, 5 L Feta Cheese, 200 kg Olive Oil"
Mexican Street Corn,https://www.allrecipes.com/recipe/mexican-street-corn,"100 tsp Salmon, 100 kg Lemon, 5 g Dill, 2 pinch Butter, 100 kg Garlic"
Garlic Knots,https://www.allrecipes.com/recipe/garlic-knots,"100 pinch Chicken, 3 ml Salt, 1 oz Pepper, 4 L Garlic, 200 kg Olive Oil"
Thai Green Curry,https://www.allrecipes.com/recipe/thai-green-curry,"5 pinch Beef, 200 tsp Onion, 3 cup Paprika, 4 tsp Tomato Paste, 3 oz Black Pepper"
Pecan Pie,https://www.allrecipes.com/recipe/pecan-pie,"3 g Salmon, 200 ml Lemon, 100 tsp Dill, 200 L Butter, 200 tbsp Garlic"
Japanese Ramen,https://www.allrecipes.com/recipe/japanese-ramen,"1 L Bread, 100 tbsp Avocado, 50 g Tomatoes, 5 tsp Feta Cheese, 100 tbsp Olive Oil"
Stuffed Cabbage Rolls,https://www.allrecipes.com/recipe/stuffed-cabbage-rolls,"5 oz Potatoes, 5 cup Rosemary, 50 tsp Salt, 1 pinch Black Pepper, 100 g Butter"
Biryani,https://www.allrecipes.com/recipe/biryani,"3 cup Eggs, 4 oz Flour, 100 kg Sugar, 200 tsp Baking Powder, 3 tsp Milk"
Cheesecake,https://www.allrecipes.com/recipe/cheesecake,"50 ml Chicken, 3 kg Salt, 4 tbsp Pepper, 5 ml Garlic, 200 L Olive Oil"
Grilled Cheese Sandwich,https://www.allrecipes.com/recipe/grilled-cheese-sandwich,"3 cup Beef, 200 cup Onion, 200 ml Paprika, 1 ml Tomato Paste, 3 pinch Black Pepper"
Saffron Rice,https://www.allrecipes.com/recipe/saffron-rice,"100 pinch Potatoes, 2 tbsp Rosemary, 5 kg Salt, 2 pinch Black Pepper, 1 ml Butter"
Apple Crumble,https://www.allrecipes.com/recipe/apple-crumble,"1 tsp Eggs, 3 oz Flour, 3 L Sugar, 4 pinch Baking Powder, 4 tsp Milk"
Goulash,https://www.allrecipes.com/recipe/goulash,"2 ml Salmon, 5 tsp Lemon, 3 cup Dill, 2 tbsp Butter, 100 L Garlic"
Beef Wellington,https://www.allrecipes.com/recipe/beef-wellington,"50 g Pasta, 4 L Tomato Sauce, 2 ml Parmesan, 2 L Basil, 5 tsp Oregano"
Tom Yum Soup,https://www.allrecipes.com/recipe/tom-yum-soup,"2 oz Pasta, 1 oz Tomato Sauce, 5 tsp Parmesan, 1 tsp Basil, 200 tsp Oregano"
Miso Soup,https://www.allrecipes.com/recipe/miso-soup,"50 cup Salmon, 50 tbsp Lemon, 200 tsp Dill, 2 ml Butter, 100 g Garlic"
Pavlova,https://www.allrecipes.com/recipe/pavlova,"1 tbsp Pasta, 50 tbsp Tomato Sauce, 200 ml Parmesan, 3 g Basil, 100 L Oregano"
Chicken Parmesan,https://www.allrecipes.com/recipe/chicken-parmesan,"100 tsp Chicken, 5 pinch Salt, 4 kg Pepper, 1 tsp Garlic, 50 L Olive Oil"
